Genotype	0	1 - 3	4 - 6	7 - 9	10 - 12	13 - 15
GR1 > LexARNAi	53	1	0	0	0	0
GR1 > to OE	15	3	3	0	0	0
GR1 > IMPPP RNAi	11	8	1	0	0	0
GR1 > CG13998 RNAi	18	14	3	1	0	0
GR1 > CG31659 RNAi	55	25	0	0	0	0
GR1 > CG13618 RNAi	89	44	5	0	0	0
GR1 > CG14645 RNAi	160	39	1	0	0	0
GR1 > Totc RNAi	105	41	1	0	0	0
GR1 > Vm32E RNAi	45	31	5	2	0	0
GR1 > NachRNAi	55	14	3	0	0	0
LysB-Pdelta	24	20	1	0	0	0
GR1 > Vps 2S RNAi 26286	0	2	0	1	6	11
GR1 > Vps25 RNAi 54831	68	3	0	0	0	0
GR1 > thetaTry RNAi	65	5	0	0	0	0
GR1 > alphaTry RNAi	87	17	0	0	0	0
GR1 > magu RNAi (41641)	121	26	6	1	0	0
GR1 > LBR RNAi	94	23	0	0	0	0
GR1 > wat RNAi	82	16	0	0	0	0
GR1 > Mur18B RNAi	50	13	0	0	0	0
GR1 > CG14259 RNAi	40	10	2	0	0	0
GR1 > CG31997 RNAi	43	11	1	0	0	0
GR1 > Cyp6a17 RNAi	36	4	0	0	0	0
GR1 > CG3397 RNAi	41	19	2	0	0	0
GR1 > CG11600 RNAi	24	8	0	0	0	0
GR1 > GstD10 RNAi	73	40	4	0	0	0
GR1 > Gstd7 RNAi	64	69	3	1	0	0
GR1 > GstD1 RNAi	32	42	6	0	0	1
GR1 > Gstd2 RNAi	41	29	3	0	0	0
GR1 >CG12398 RNAi	30	10	1	0	0	0
GR1 > Prosalpha3 RNAi	4	10	10	8	5	3
GR1 > numb RNAi	186	5	0	0	0	0
GR1 > Dad RNAi	67	10	0	0	0	0
GR1 > Hsp23 OE	217	80	19	6	0	0
GR1 > CG6403 RNAi	52	3	0	0	0	0
